
0;+;0;0
0;-;0;0
0;*;0;0
0;+;1;1
0;*;1;0
0;/;1;0
0;+;2;2
0;*;2;0
0;/;2;0
0;+;3;3
0;*;3;0
0;/;3;0
0;+;4;4
0;*;4;0
0;/;4;0
0;+;5;5
0;*;5;0
0;/;5;0
0;+;6;6
0;*;6;0
0;/;6;0
0;+;7;7
0;*;7;0
0;/;7;0
0;+;8;8
0;*;8;0
0;/;8;0
0;+;9;9
0;*;9;0
0;/;9;0
0;+;10;10
0;*;10;0
0;/;10;0
0;+;11;11
0;*;11;0
0;/;11;0
0;+;12;12
0;*;12;0
0;/;12;0
0;+;13;13
0;*;13;0
0;/;13;0
0;+;14;14
0;*;14;0
0;/;14;0
0;+;15;15
0;*;15;0
0;/;15;0
0;+;16;16
0;*;16;0
0;/;16;0
0;+;17;17
0;*;17;0
0;/;17;0
0;+;18;18
0;*;18;0
0;/;18;0
0;+;19;19
0;*;19;0
0;/;19;0
0;+;20;20
0;*;20;0
0;/;20;0
1;+;0;1
1;-;0;1
1;*;0;0
1;+;1;2
1;-;1;0
1;*;1;1
1;/;1;1
1;+;2;3
1;*;2;2
1;+;3;4
1;*;3;3
1;+;4;5
1;*;4;4
1;+;5;6
1;*;5;5
1;+;6;7
1;*;6;6
1;+;7;8
1;*;7;7
1;+;8;9
1;*;8;8
1;+;9;10
1;*;9;9
1;+;10;11
1;*;10;10
1;+;11;12
1;*;11;11
1;+;12;13
1;*;12;12
1;+;13;14
1;*;13;13
1;+;14;15
1;*;14;14
1;+;15;16
1;*;15;15
1;+;16;17
1;*;16;16
1;+;17;18
1;*;17;17
1;+;18;19
1;*;18;18
1;+;19;20
1;*;19;19
1;+;20;21
1;*;20;20
2;+;0;2
2;-;0;2
2;*;0;0
2;+;1;3
2;-;1;1
2;*;1;2
2;/;1;2
2;+;2;4
2;-;2;0
2;*;2;4
2;/;2;1
2;+;3;5
2;*;3;6
2;+;4;6
2;*;4;8
2;+;5;7
2;*;5;10
2;+;6;8
2;*;6;12
2;+;7;9
2;*;7;14
2;+;8;10
2;*;8;16
2;+;9;11
2;*;9;18
2;+;10;12
2;*;10;20
2;+;11;13
2;*;11;22
2;+;12;14
